epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1748.1,1.13693,1.07428,1.24887,0.32546,0.33333,0.21588,0.05497,2.83323,2.37604,3.16218,0.000317,0.000317,0.000317
87,1769.44,1.30893,1.04179,1.24888,0.46637,0.25333,0.22728,0.05833,2.8208,2.35475,3.15223,0.0002972,0.0002972,0.0002972
88,1790.75,1.27487,1.00589,1.2719,0.31126,0.30667,0.21377,0.06163,2.78979,2.39407,3.07479,0.0002774,0.0002774,0.0002774
89,1811.05,1.17099,1.03653,1.26495,0.31126,0.30667,0.21377,0.06163,2.78979,2.39407,3.07479,0.0002576,0.0002576,0.0002576
90,1830.63,1.22484,1.07265,1.29972,0.32963,0.32,0.225,0.06527,2.79454,2.39319,3.06101,0.0002378,0.0002378,0.0002378
91,1849.82,1.41855,1.4409,1.49565,0.36642,0.30667,0.23132,0.06894,2.79513,2.39588,3.08902,0.000218,0.000218,0.000218
92,1868.69,1.34945,1.386,1.39568,0.38932,0.30667,0.24939,0.07172,2.76557,2.38662,3.05119,0.0001982,0.0001982,0.0001982
93,1887.66,1.16429,1.18228,1.28261,0.38932,0.30667,0.24939,0.07172,2.76557,2.38662,3.05119,0.0001784,0.0001784,0.0001784
94,1906.68,1.25379,1.25586,1.3259,0.41096,0.28,0.2427,0.07217,2.74484,2.38528,3.01554,0.0001586,0.0001586,0.0001586
95,1925.91,1.20105,1.17046,1.31399,0.43451,0.28,0.26648,0.07628,2.73623,2.35222,2.99539,0.0001388,0.0001388,0.0001388
96,1944.9,1.19022,1.13106,1.2964,0.39589,0.26667,0.25862,0.07473,2.76264,2.36791,3.01351,0.000119,0.000119,0.000119
97,1964.03,1.14752,1.10636,1.24645,0.39589,0.26667,0.25862,0.07473,2.76264,2.36791,3.01351,9.92e-05,9.92e-05,9.92e-05
98,1983.09,1.13138,1.1032,1.25127,0.38526,0.26667,0.25229,0.07711,2.7705,2.36927,3.02134,7.94e-05,7.94e-05,7.94e-05
99,2002.7,1.15053,1.11965,1.25828,0.33426,0.32135,0.25419,0.07491,2.76287,2.37727,2.99474,5.96e-05,5.96e-05,5.96e-05
100,2022.65,1.16474,1.06583,1.25672,0.47563,0.24192,0.25577,0.07602,2.75709,2.38625,2.98731,3.98e-05,3.98e-05,3.98e-05
